feature,mean,std,count,cv
financials_1269_ytd_2587089_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2587089_lag_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_5_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_5_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_5_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2587089_lag_5_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_5_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_5_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2587089_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2587089_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2587089_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2587089_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2587089_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2587089_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2596492,0.0,0.0,2,
financials_1269_ytd_2596492_lag_1,0.0,0.0,2,
financials_1269_ytd_2596492_lag_1_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2596492_lag_1_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2596492_lag_1_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2596492_lag_1_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2596492_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2596492_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2596492_lag_21,0.0,0.0,2,
financials_1269_ytd_2596492_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2596492_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2596492_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2596492_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2596492_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2596492_lag_21_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2596492_lag_5,0.0,0.0,2,
financials_1269_ytd_2596492_lag_5_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2596492_lag_5_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2596492_lag_5_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2596492_lag_5_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2596492_lag_5_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2596492_lag_5_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2596492_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2596492_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2596492_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2596492_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2596492_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2596492_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2632650,0.0,0.0,2,
financials_1269_ytd_2632650_lag_1,0.0,0.0,2,
financials_1269_ytd_2632650_lag_1_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2632650_lag_1_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2632650_lag_1_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2632650_lag_1_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2632650_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2632650_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2632650_lag_21,0.0,0.0,2,
financials_1269_ytd_2632650_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2632650_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2632650_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2632650_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2632650_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2632650_lag_21_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2632650_lag_5,0.0,0.0,2,
financials_1269_ytd_2632650_lag_5_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2632650_lag_5_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2632650_lag_5_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2632650_lag_5_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2632650_lag_5_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2632650_lag_5_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2632650_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2632650_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2632650_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2632650_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2632650_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2632650_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2650601,0.0,0.0,2,
financials_1269_ytd_2650601_lag_1,0.0,0.0,2,
financials_1269_ytd_2650601_lag_1_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2650601_lag_1_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2650601_lag_1_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2650601_lag_1_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2650601_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2650601_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2650601_lag_21,0.0,0.0,2,
financials_1269_ytd_2650601_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2650601_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2650601_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2650601_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2650601_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2650601_lag_21_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2650601_lag_5,0.0,0.0,2,
financials_1269_ytd_2650601_lag_5_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2650601_lag_5_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2650601_lag_5_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2650601_lag_5_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2650601_lag_5_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2650601_lag_5_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2650601_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2650601_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2650601_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2650601_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2650601_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2650601_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920326,0.0,0.0,2,
financials_1269_ytd_325920326_lag_1,0.0,0.0,2,
financials_1269_ytd_325920326_lag_1_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920326_lag_1_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920326_lag_1_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920326_lag_1_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920326_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920326_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920326_lag_21,0.0,0.0,2,
financials_1269_ytd_325920326_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920326_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920326_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920326_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920326_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920326_lag_21_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920326_lag_5,0.0,0.0,2,
financials_1269_ytd_325920326_lag_5_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920326_lag_5_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920326_lag_5_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920326_lag_5_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920326_lag_5_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920326_lag_5_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920326_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920326_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920326_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920326_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920326_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920326_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920331,0.0,0.0,2,
financials_1269_ytd_325920331_lag_1,0.0,0.0,2,
financials_1269_ytd_325920331_lag_1_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920331_lag_1_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920331_lag_1_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920331_lag_1_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920331_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920331_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920331_lag_21,0.0,0.0,2,
financials_1269_ytd_325920331_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920331_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920331_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920331_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920331_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920331_lag_21_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920331_lag_5,0.0,0.0,2,
financials_1269_ytd_325920331_lag_5_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920331_lag_5_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920331_lag_5_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920331_lag_5_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920331_lag_5_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920331_lag_5_roll_std_63,0.0,0.0,2,
financials_1269_ytd_325920331_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_325920331_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_325920331_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_325920331_roll_std_21,0.0,0.0,2,
financials_1269_ytd_325920331_roll_std_5,0.0,0.0,2,
financials_1269_ytd_325920331_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2592962,0.0,0.0,2,
financials_2027_ytd_2592962_lag_1,0.0,0.0,2,
financials_2027_ytd_2592962_lag_1_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2592962_lag_1_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2592962_lag_1_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2592962_lag_1_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2592962_lag_1_roll_std_5,0.0,0.0,2,
