feature,importance,date
ret_21d_2622900_lag_5_roll_mean_5,0.0024671268,2018-03-05
ret_21d_2595754_lag_1_roll_std_63,0.0024386118,2018-03-05
ret_21d_618650356_lag_21,0.0024177413,2018-03-05
ret_21d_2617855_lag_1,0.0023858994,2018-03-05
ret_21d_405156965_lag_21_roll_mean_21,0.0023721221,2018-03-05
ret_21d_2637676_lag_1_roll_mean_21,0.0023042369,2018-03-05
ret_21d_2638965_lag_1_roll_mean_21,0.0022201694,2018-03-05
ret_21d_670990664_lag_1,0.0021942537,2018-03-05
ret_21d_314322981_lag_21_roll_mean_63,0.0021905184,2018-03-05
ret_21d_222340174_lag_1_roll_mean_5,0.0021843337,2018-03-05
ret_21d_3346309_lag_5_roll_mean_21,0.0021793235,2018-03-05
ret_21d_2639911_roll_mean_5,0.0021663192,2018-03-05
ret_21d_2619516_roll_mean_5,0.0021472713,2018-03-05
financials_43898_ytd_48945042_lag_5_roll_std_63,0.002107085,2018-03-05
ret_21d_2601263_lag_5_roll_std_21,0.0020852748,2018-03-05
ret_21d_171999435_lag_21_roll_std_5,0.002070353,2018-03-05
ret_21d_109766319_roll_mean_63,0.0020426575,2018-03-05
ret_21d_2659270_lag_21_roll_mean_63,0.0020102658,2018-03-05
ret_21d_2656368_lag_5_roll_mean_5,0.0020022928,2018-03-05
ret_21d_2649625_lag_1_roll_mean_21,0.00198383,2018-03-05
ret_21d_260217790_roll_std_21,0.0019823306,2018-03-05
ret_21d_2638268_roll_mean_21,0.0019148986,2018-03-05
ret_21d_2659551_lag_5_roll_mean_63,0.0019005836,2018-03-05
financials_4430_ytd_37117966_lag_5_roll_std_21,0.0018975822,2018-03-05
ret_21d_2660165_roll_std_21,0.0018919517,2018-03-05
ret_21d_2593872_lag_5_roll_mean_63,0.0018573988,2018-03-05
ret_21d_22813853,0.001853181,2018-03-05
ret_21d_247027084_lag_5_roll_mean_21,0.0018413452,2018-03-05
ret_21d_2657481,0.0018192502,2018-03-05
ret_21d_302954483_lag_21_roll_mean_63,0.0018093945,2018-03-05
ret_21d_104552804_lag_21_roll_std_63,0.0017952411,2018-03-05
ret_21d_2603877_lag_21_roll_mean_5,0.0017947439,2018-03-05
financials_4197_ytd_2635020_lag_1_roll_std_63,0.0017835416,2018-03-05
ret_21d_23459254_lag_1,0.0017756197,2018-03-05
ret_21d_303189491_lag_21_roll_mean_21,0.0017500129,2018-03-05
illiqmasked_amp_wavg_illiq_50_2_v2_2595573_roll_std_21,0.0017372358,2018-03-05
ret_21d_2606155_lag_1_roll_std_21,0.0017251179,2018-03-05
ret_21d_23133968_lag_21_roll_std_63,0.0017075669,2018-03-05
ret_21d_274942065_lag_21,0.0016995348,2018-03-05
ret_21d_2604128_lag_1_roll_mean_21,0.0016922728,2018-03-05
ret_21d_2628457,0.0016718672,2018-03-05
ret_21d_2616161,0.0016685836,2018-03-05
ret_21d_2607409_lag_1_roll_mean_21,0.0016622216,2018-03-05
ret_21d_47440465_roll_mean_5,0.00163605,2018-03-05
ret_21d_253262879_lag_5_roll_mean_21,0.001592511,2018-03-05
ret_21d_2663801_lag_5_roll_std_21,0.0015825815,2018-03-05
ret_21d_303189491_roll_mean_21,0.0015793844,2018-03-05
ret_21d_2643614_lag_21_roll_mean_21,0.0015701747,2018-03-05
ret_21d_2630079_lag_5_roll_mean_63,0.0015600716,2018-03-05
ret_21d_2632217_lag_21_roll_std_21,0.0015564506,2018-03-05
ret_21d_2655868,0.0015416313,2018-03-05
ret_21d_137224792_lag_21_roll_mean_21,0.0015390975,2018-03-05
ret_21d_2589783_lag_21_roll_mean_21,0.001535222,2018-03-05
ret_21d_2606119,0.0015199474,2018-03-05
ret_21d_2655868_lag_21_roll_mean_5,0.0015190756,2018-03-05
ret_21d_1892183070_lag_21_roll_std_63,0.0015041752,2018-03-05
ret_21d_98123022_roll_mean_21,0.0015020082,2018-03-05
ret_21d_2632502_roll_mean_5,0.0014960434,2018-03-05
ret_21d_28384364,0.0014467749,2018-03-05
ret_21d_23999834_roll_std_21,0.0014329955,2018-03-05
ret_21d_28384364_lag_1,0.0014297183,2018-03-05
ret_21d_137224792_lag_1_roll_std_21,0.0014232999,2018-03-05
ret_21d_2604117,0.0014120025,2018-03-05
ret_21d_106522000_lag_1_roll_std_21,0.0014097481,2018-03-05
ret_21d_245851133_roll_std_21,0.0014012235,2018-03-05
ret_21d_214814966_lag_5_roll_mean_5,0.001392292,2018-03-05
ret_21d_2633083_lag_1_roll_std_21,0.0013842412,2018-03-05
ret_21d_102371354_lag_21_roll_std_21,0.001375523,2018-03-05
ret_21d_6657214_lag_1_roll_std_63,0.0013706797,2018-03-05
ret_21d_2587782_lag_21_roll_std_63,0.0013461938,2018-03-05
ret_21d_2657174_roll_mean_5,0.0013460108,2018-03-05
ret_21d_262301231_lag_1_roll_std_21,0.0013425621,2018-03-05
ret_21d_23604640_lag_1,0.0013217533,2018-03-05
ret_21d_27059648_lag_21,0.0013214207,2018-03-05
ret_21d_2627759,0.0013178387,2018-03-05
ret_21d_183529272,0.0013131847,2018-03-05
ret_21d_49677276_roll_mean_21,0.0013011713,2018-03-05
ret_21d_83105693,0.0013001305,2018-03-05
ret_21d_2639911_lag_1_roll_mean_5,0.0012905669,2018-03-05
ret_21d_2649298_roll_std_63,0.001285692,2018-03-05
ret_21d_20961128_lag_5_roll_mean_5,0.0012775434,2018-03-05
ret_21d_2620284_lag_5_roll_std_63,0.0012732302,2018-03-05
ret_21d_2623174_lag_21,0.0012615663,2018-03-05
financials_3524_ytd_2630179_lag_5_roll_std_63,0.0012604779,2018-03-05
ret_21d_34028921,0.0012480723,2018-03-05
ret_21d_23999834,0.0012479911,2018-03-05
illiqmasked_amp_wavg_illiq_50_2_v2_2595573_lag_1_roll_mean_5,0.0012463167,2018-03-05
ret_21d_256385652,0.0012437742,2018-03-05
ret_21d_2630449,0.0012301712,2018-03-05
ret_21d_302152722,0.0012241675,2018-03-05
ret_21d_20518077_lag_1_roll_std_21,0.0012214583,2018-03-05
ret_21d_2608635_lag_5_roll_mean_5,0.0012146301,2018-03-05
ret_21d_2637676_lag_5_roll_mean_5,0.0012031313,2018-03-05
